lo,hi,sat,excl
0.63,2.1,0.9767257758074731,0.19010477299185102
0.63,2.15,0.9799715009499683,0.18905704307334115
0.63,2.2,0.9829797340088664,0.18800931315483116
0.63,2.25,0.984879670677644,0.18731082654249132
0.63,2.3,0.9870962634578847,0.18696158323632128
0.63,2.35,0.9886795440151995,0.18661233993015136
0.63,2.4,0.9901836605446485,0.18603026775320142
0.63,2.45,0.9908961367954402,0.18533178114086146
0.63,2.5,0.9917669411019633,0.18533178114086146
0.63,2.55,0.992162761241292,0.18498253783469154
0.63,2.6,0.9924794173527549,0.1845168800931315
0.63,2.65,0.9927169094363522,0.1844004656577416
0.63,2.7,0.9929544015199493,0.18381839348079165
0.63,2.75,0.9932710576314123,0.18358556461001163
0.63,2.8,0.9939043698543382,0.1831199068684517
0.63,2.85,0.9943793540215327,0.18277066356228178
0.63,2.9,0.994854338188727,0.18218859138533183
0.63,2.95,0.9950126662444585,0.1819557625145518
0.63,3.0,0.9950918302723243,0.1818393480791618
0.63,3.05,0.9952501583280557,0.1816065192083819
0.63,3.1,0.9953293223559214,0.18102444703143195
0.63,3.15,0.9953293223559214,0.18079161816065192
0.63,3.2,0.9954084863837872,0.18079161816065192
0.63,3.25,0.995487650411653,0.1806752037252619
0.63,3.3,0.995487650411653,0.1806752037252619
0.63,3.35,0.9956459784673845,0.180325960419092
0.63,3.4,0.9956459784673845,0.180325960419092
0.63,3.45,0.9956459784673845,0.180325960419092
0.63,3.5,0.9958043065231159,0.180325960419092
0.63,3.55,0.9958834705509816,0.180325960419092
0.64,1.0,0.8847371754274858,0.41618160651920844
0.64,1.05,0.9411019632678911,0.4020954598370198
0.64,1.1,0.948068397720076,0.39103608847497084
0.64,1.15,0.9499683343888538,0.36961583236321305
0.64,1.2,0.9513141228625712,0.3330616996507567
0.64,1.25,0.9518682710576314,0.2903376018626309
0.64,1.3,0.9521057631412286,0.2511059371362049
0.64,1.35,0.9521849271690943,0.2260768335273574
0.64,1.4,0.9521849271690943,0.2151338766006985
0.64,1.45,0.9523432552248259,0.21233993015133878
0.64,1.5,0.9523432552248259,0.21082654249126886
0.64,1.55,0.9525015832805573,0.209778812572759
0.64,1.6,0.9530557314756175,0.2084982537834692
0.64,1.65,0.9539265357821406,0.20605355064027941
0.64,1.7,0.9555098163394553,0.20488940628637953
0.64,1.75,0.9566972767574414,0.20349243306169962
0.64,1.8,0.958043065231159,0.20232828870779973
0.64,1.85,0.9601013299556681,0.20104772991850994
0.64,1.9,0.9629512349588347,0.19999999999999996
0.64,1.95,0.9673844205193161,0.19848661233993015
0.64,2.0,0.970392653578214,0.19743888242142027
0.64,2.05,0.9737967067764408,0.19627473806752038
0.64,2.1,0.9765674477517416,0.19534342258440052
0.64,2.15,0.9798131728942369,0.19429569266589053
0.64,2.2,0.9828214059531349,0.19324796274738065
0.64,2.25,0.9847213426219126,0.1925494761350407
0.64,2.3,0.9869379354021532,0.19220023282887078
0.64,2.35,0.9885212159594681,0.19185098952270085
0.64,2.4,0.990025332488917,0.1912689173457509
0.64,2.45,0.9907378087397086,0.19057043073341096
0.64,2.5,0.9916086130462318,0.19057043073341096
0.64,2.55,0.9920044331855605,0.19022118742724092
0.64,2.6,0.9923210892970235,0.189755529685681
0.64,2.65,0.9925585813806207,0.1896391152502911
0.64,2.7,0.9927960734642178,0.18905704307334115
0.64,2.75,0.9931127295756809,0.18882421420256112
0.64,2.8,0.9937460417986067,0.1883585564610012
0.64,2.85,0.9942210259658011,0.18800931315483116
0.64,2.9,0.9946960101329956,0.18742724097788122
0.64,2.95,0.994854338188727,0.1871944121071013
0.64,3.0,0.9949335022165928,0.1870779976717113
0.64,3.05,0.9950918302723243,0.18684516880093127
0.64,3.1,0.99517099430019,0.18626309662398133
0.64,3.15,0.99517099430019,0.18603026775320142
0.64,3.2,0.9952501583280557,0.18603026775320142
0.64,3.25,0.9953293223559214,0.1859138533178114
0.64,3.3,0.9953293223559214,0.1859138533178114
0.64,3.35,0.995487650411653,0.18556461001164148
0.64,3.4,0.995487650411653,0.18556461001164148
0.64,3.45,0.995487650411653,0.18556461001164148
0.64,3.5,0.9956459784673845,0.18556461001164148
0.64,3.55,0.9957251424952501,0.18556461001164148
0.65,1.0,0.8844205193160228,0.42456344586728756
0.65,1.05,0.9407853071564282,0.4104772991850989
0.65,1.1,0.9477517416086131,0.3994179278230501
0.65,1.15,0.9496516782773907,0.37799767171129217
0.65,1.2,0.9509974667511083,0.34144353899883584
0.65,1.25,0.9515516149461685,0.29871944121071015
0.65,1.3,0.9517891070297657,0.259487776484284
0.65,1.35,0.9518682710576314,0.23445867287543654
0.65,1.4,0.9518682710576314,0.22351571594877762
0.65,1.45,0.9520265991133628,0.2207217694994179
0.65,1.5,0.9520265991133628,0.2192083818393481
0.65,1.55,0.9521849271690943,0.21816065192083822
0.65,1.6,0.9527390753641545,0.21688009313154832
0.65,1.65,0.9536098796706777,0.21443538998835854
0.65,1.7,0.9551931602279924,0.21327124563445865
0.65,1.75,0.9563806206459785,0.21187427240977885
0.65,1.8,0.957726409119696,0.21071012805587896
0.65,1.85,0.9597846738442052,0.20942956926658907
0.65,1.9,0.9626345788473718,0.2083818393480792
0.65,1.95,0.967067764407853,0.20686845168800927
0.65,2.0,0.9700759974667511,0.2058207217694994
0.65,2.05,0.9734800506649778,0.2046565774155995
0.65,2.1,0.9762507916402786,0.20372526193247964
0.65,2.15,0.9794965167827739,0.20267753201396976
0.65,2.2,0.9825047498416719,0.2016298020954599
0.65,2.25,0.9844046865104497,0.20093131548311993
0.65,2.3,0.9866212792906903,0.2005820721769499
0.65,2.35,0.988204559848005,0.20023282887077998
0.65,2.4,0.9897086763774541,0.19965075669383003
0.65,2.45,0.9904211526282457,0.19895227008149008
0.65,2.5,0.9912919569347688,0.19895227008149008
0.65,2.55,0.9916877770740975,0.19860302677532016
0.65,2.6,0.9920044331855605,0.19813736903376022
0.65,2.65,0.9922419252691577,0.1980209545983702
0.65,2.7,0.9924794173527549,0.19743888242142027
0.65,2.75,0.9927960734642178,0.19720605355064025
0.65,2.8,0.9934293856871438,0.19674039580908032
0.65,2.85,0.9939043698543382,0.1963911525029104
0.65,2.9,0.9943793540215327,0.19580908032596045
0.65,2.95,0.9945376820772641,0.19557625145518043
0.65,3.0,0.9946168461051298,0.19545983701979042
0.65,3.05,0.9947751741608613,0.1952270081490105
0.65,3.1,0.994854338188727,0.19464493597206056
0.65,3.15,0.994854338188727,0.19441210710128054
0.65,3.2,0.9949335022165928,0.19441210710128054
0.65,3.25,0.9950126662444585,0.19429569266589053
0.65,3.3,0.9950126662444585,0.19429569266589053
0.65,3.35,0.99517099430019,0.1939464493597206
0.65,3.4,0.99517099430019,0.1939464493597206
0.65,3.45,0.99517099430019,0.1939464493597206
0.65,3.5,0.9953293223559214,0.1939464493597206
0.65,3.55,0.9954084863837872,0.1939464493597206
0.66,1.0,0.8841038632045598,0.4321303841676368
0.66,1.05,0.9404686510449651,0.41804423748544817
