kind,lo,hi,sat,excl
two-sided,0.62,1.76,0.9570930968967701,0.19150174621653082
two-sided,0.62,1.78,0.9576472450918303,0.1912689173457509
two-sided,0.62,1.8,0.9582805573147561,0.19057043073341096
two-sided,0.62,1.82,0.9589930335655478,0.189988358556461
two-sided,0.62,1.84,0.9594680177327423,0.18940628637951107
two-sided,0.62,1.86,0.961051298290057,0.18905704307334115
two-sided,0.62,1.88,0.9619221025965801,0.1885913853317811
two-sided,0.62,1.9,0.963188727042432,0.18824214202561118
two-sided,0.62,1.92,0.9650094996833439,0.18777648428405125
two-sided,0.62,1.94,0.9667511082963901,0.18684516880093127
two-sided,0.62,1.96,0.9686510449651679,0.18649592549476135
two-sided,0.62,1.98,0.9696010132995567,0.18568102444703138
two-sided,0.62,2.0,0.9706301456618113,0.18568102444703138
two-sided,0.62,2.02,0.9712634578847372,0.18533178114086146
two-sided,0.62,2.04,0.9734008866371121,0.18509895227008144
two-sided,0.62,2.06,0.9745883470550981,0.18416763678696157
two-sided,0.62,2.08,0.9757758074730842,0.18393480791618155
two-sided,0.62,2.1,0.9768049398353388,0.18358556461001163
two-sided,0.62,2.12,0.9778340721975934,0.1832363213038417
two-sided,0.62,2.14,0.9795756808106396,0.18288707799767168
two-sided,0.62,2.16,0.9808423052564914,0.1818393480791618
two-sided,0.62,2.18,0.9821089297023432,0.1817229336437718
two-sided,0.62,2.2,0.9830588980367321,0.18149010477299188
two-sided,0.62,2.22,0.9838505383153895,0.18090803259604193
two-sided,0.62,2.24,0.9849588347055098,0.18079161816065192
two-sided,0.62,2.26,0.9853546548448385,0.1806752037252619
two-sided,0.62,2.28,0.9861462951234958,0.180442374854482
two-sided,0.62,2.3,0.9871754274857505,0.180442374854482
two-sided,0.62,2.32,0.9877295756808107,0.180442374854482
two-sided,0.62,2.34,0.9886003799873337,0.18009313154831197
two-sided,0.62,2.36,0.9890753641545282,0.17974388824214205
two-sided,0.62,2.38,0.9897878404053199,0.17962747380675204
two-sided,0.62,2.4,0.9902628245725142,0.17951105937136203
two-sided,0.62,2.42,0.9907378087397086,0.17927823050058211
two-sided,0.62,2.44,0.9908169727675744,0.17881257275902207
two-sided,0.62,2.46,0.9910544648511717,0.17881257275902207
two-sided,0.62,2.48,0.9914502849905004,0.17881257275902207
two-sided,0.62,2.5,0.991846105129829,0.17881257275902207
two-sided,0.62,2.52,0.9920044331855605,0.17881257275902207
two-sided,0.62,2.54,0.9922419252691577,0.17846332945285215
two-sided,0.62,2.56,0.9923210892970235,0.17834691501746214
two-sided,0.62,2.58,0.9924002533248891,0.17834691501746214
two-sided,0.62,2.6,0.9925585813806207,0.17799767171129222
two-sided,0.62,2.62,0.9926377454084864,0.1778812572759022
two-sided,0.62,2.64,0.9927169094363522,0.1778812572759022
two-sided,0.62,2.66,0.9928752374920836,0.1777648428405122
two-sided,0.62,2.68,0.9928752374920836,0.17741559953434227
two-sided,0.62,2.7,0.9930335655478151,0.17729918509895226
two-sided,0.62,2.72,0.9931127295756809,0.17718277066356225
two-sided,0.62,2.74,0.9932710576314123,0.17706635622817224
two-sided,0.62,2.76,0.993350221659278,0.17706635622817224
two-sided,0.62,2.78,0.9934293856871438,0.17671711292200232
two-sided,0.62,2.8,0.993983533882204,0.1766006984866123
two-sided,0.62,2.82,0.9944585180493983,0.1766006984866123
two-sided,0.62,2.84,0.9944585180493983,0.1763678696158324
two-sided,0.62,2.86,0.9946168461051298,0.17613504074505237
two-sided,0.62,2.88,0.994854338188727,0.17590221187427246
two-sided,0.62,2.9,0.9949335022165928,0.17566938300349244
two-sided,0.62,2.92,0.9950126662444585,0.17555296856810243
two-sided,0.62,2.94,0.9950918302723243,0.17555296856810243
two-sided,0.62,2.96,0.99517099430019,0.17543655413271242
two-sided,0.62,2.98,0.99517099430019,0.17543655413271242
two-sided,0.62,3.0,0.99517099430019,0.17532013969732252
two-sided,0.62,3.02,0.99517099430019,0.1752037252619325
two-sided,0.62,3.04,0.9952501583280557,0.1750873108265425
