material_id,e_released_per_atom,L1,L2,L3,L4
gen_3255.cif,0.0150779724121,True,True,True,False
gen_2767.cif,0.0370764732361,True,True,True,False
gen_1758.cif,0.00577278137207,True,False,False,False
gen_7575.cif,0,True,True,,False
gen_3298.cif,0.00683866228376,True,True,True,False
gen_2308.cif,0.0697288513184,,,,
gen_2664.cif,0.001145362854,True,True,,False
gen_6579.cif,0.00195922851563,True,True,,False
gen_3044.cif,0.00269622802734,True,True,True,False
gen_747.cif,0.00990840366908,,,,
gen_4357.cif,0.00624465942383,,,,
gen_135.cif,0.00988149642944,True,True,True,False
gen_4518.cif,0.0740198771159,,,,
gen_5787.cif,0.00143771701389,,,,
gen_7728.cif,0.0768333435059,,,,
gen_9615.cif,0.000544738769531,True,True,True,False
gen_253.cif,0.0115036964417,,,,
gen_9025.cif,0.0117212931315,,,,
gen_3206.cif,0.000147104263306,,,,
gen_7275.cif,0.0506477355957,True,True,True,False
gen_4702.cif,0.148214022319,,,,
gen_2649.cif,0.0292997360229,True,True,True,False
gen_1787.cif,0.00971094767253,,,,
gen_9248.cif,0.00158391680036,True,True,True,False
gen_9347.cif,0.000573476155599,,,,
gen_3021.cif,0.0536932945251,,,,
gen_7447.cif,0.0259714126587,,,,
gen_1270.cif,0.0232711791992,,,,
gen_9754.cif,0.00472831726074,True,True,True,False
gen_5800.cif,0.00122356414795,True,True,True,False
gen_2496.cif,0.00178298950195,True,True,True,False
gen_4814.cif,0.0817845662435,True,True,True,False
gen_6275.cif,0.00207042694092,True,True,True,False
gen_4295.cif,0.0431610107422,True,True,True,False
gen_7083.cif,0.00915813446045,,,,
gen_4961.cif,0.00370372425426,,,,
gen_7376.cif,0.0124099731445,,,,
gen_4279.cif,0.308530044556,,,,
gen_5398.cif,0.000131416320801,True,True,True,False
gen_172.cif,0.00193977355957,,,,
gen_162.cif,0.00639300876194,,,,
gen_9609.cif,0.170973968506,,,,
gen_2015.cif,0,,,,
gen_6702.cif,0.00393761528863,,,,
gen_7122.cif,0.0119445800781,,,,
gen_3695.cif,0.00167322158813,True,True,True,False
gen_1426.cif,0.0142135620117,,,,
gen_9136.cif,0.00163968404134,,,,
gen_9611.cif,0.00183132716588,,,,
gen_4571.cif,0.013037109375,True,True,True,False
gen_3917.cif,2.86102294922e-05,,,,
gen_7131.cif,0.00434603009905,True,True,True,False
gen_9810.cif,0.101020336151,,,,
gen_9397.cif,0.000283622741699,True,True,True,False
gen_9056.cif,0.000378799438477,,,,
gen_7352.cif,0.00162744522095,True,True,True,False
gen_9215.cif,0.00328903198242,True,True,True,False
gen_6883.cif,0.0189609527588,True,True,,False
gen_8726.cif,0.00616115993924,,,,
gen_4099.cif,0.035943031311,,,,
gen_3392.cif,0.0149388313293,,,,
gen_2703.cif,0.00535043080648,,,,
gen_4721.cif,0.00566520690918,,,,
gen_8033.cif,0.0258302688599,,,,
gen_6137.cif,0.00102310180664,,,,
gen_5011.cif,0.00202624003092,,,,
gen_1192.cif,0.00543975830078,,,,
gen_5283.cif,0.0407307942708,,,,
gen_6038.cif,0.000747680664062,True,True,True,True
gen_5579.cif,0,,,,
gen_1320.cif,0.133394241333,,,,
gen_9060.cif,0.00190811157227,True,True,True,False
gen_8218.cif,0.00931840784409,,,,
gen_4007.cif,0,,,,
gen_1370.cif,0.00234603881836,,,,
gen_6131.cif,0.0295177035862,True,True,True,False
gen_6672.cif,0.0297444661458,,,,
gen_8252.cif,0.00318060980903,True,True,True,False
gen_5102.cif,0.0368161201477,True,False,False,False
gen_6732.cif,0.00449981689453,,,,
gen_4682.cif,0.0106132507324,,,,
gen_3719.cif,0.00138282775879,True,True,True,False
gen_3763.cif,0.00698956576261,,,,
gen_2843.cif,0.0787531534831,,,,
gen_2273.cif,0.00454864501953,True,True,True,False
gen_9709.cif,0.0276424407959,True,False,False,False
gen_3585.cif,0.0233742209042,,,,
gen_8959.cif,0.00212751116071,,,,
gen_5660.cif,0.0889806111654,,,,
gen_1978.cif,0.0124049186707,True,True,True,False
gen_5926.cif,0.000112152099609,,,,
gen_1226.cif,0.0092273288303,,,,
gen_7515.cif,0.0145141601563,True,True,True,False
gen_4539.cif,0,,,,
gen_9541.cif,0.0199192592076,,,,
gen_8808.cif,0.000185966491699,,,,
gen_6860.cif,0,,,,
gen_1249.cif,0.0651416778564,True,False,False,False
gen_1022.cif,0.0291595458984,True,True,True,False
gen_9480.cif,0.000245666503906,,,,
gen_8795.cif,0.00385332107544,,,,
gen_5664.cif,0.000433349609375,True,True,True,True
gen_1983.cif,0.0227224826813,True,True,True,False
gen_8555.cif,0.0598430633545,,,,
gen_2872.cif,0,,,,
gen_5231.cif,0.000239372253418,,,,
gen_3797.cif,0.00269031524658,True,True,True,False
gen_3254.cif,0.0402348836263,True,True,True,False
gen_5750.cif,1.1682510376e-05,,,,
gen_2998.cif,0,True,True,,False
gen_2705.cif,2.28881835938e-05,True,True,True,True
gen_1511.cif,0,,,,
gen_7191.cif,0.0505938529968,True,True,True,False
gen_9746.cif,0.0659809112549,True,True,True,False
gen_214.cif,0.00968246459961,,,,
gen_2104.cif,0,,,,
gen_2819.cif,0.00033712387085,True,True,,False
gen_1773.cif,0.0238704681396,True,True,True,False
gen_1843.cif,0.0731699625651,True,True,True,False
gen_6456.cif,4.29153442383e-05,True,True,True,
gen_7354.cif,0.0217247009277,True,True,True,False
gen_7704.cif,0.0476535450328,,,,
gen_659.cif,0,,,,
gen_5202.cif,0.0218268500434,,,,
gen_978.cif,0.0037353515625,True,True,True,False
gen_5930.cif,6.48498535156e-05,,,,
gen_7336.cif,0.00654547555106,,,,
gen_9387.cif,0.0125231742859,,,,
gen_7455.cif,8.20159912109e-05,,,,
gen_4772.cif,0,,,,
gen_2526.cif,0.001296043396,True,True,True,False
gen_6282.cif,0.0119115193685,,,,
gen_547.cif,0.00966262817383,,,,
gen_6697.cif,0,,,,
gen_9253.cif,0.565917650859,,,,
gen_1580.cif,0.000356292724609,,,,
gen_6509.cif,0.00920677185059,,,,
gen_7943.cif,0,,,,
gen_39.cif,0.00614523887634,True,True,True,False
gen_4542.cif,0.0155817667643,,,,
gen_1845.cif,0,,,,
gen_2331.cif,0.00575256347656,,,,
gen_8097.cif,0.00171394348145,,,,
gen_8179.cif,0.000138282775879,,,,
gen_3547.cif,0.0606025695801,,,,
gen_8116.cif,0.239703496297,,,,
gen_55.cif,0.0304735357111,,,,
gen_6587.cif,0.0231943130493,,,,
gen_9751.cif,0.00943298339844,True,True,True,False
gen_9258.cif,0,,,,
gen_5267.cif,0,,,,
