tau,sat,excl,S1,S2,S3,S4,S5
0.865,0.8984325522482584,0.5327124563445867,0.8429621848739496,0.7471264367816092,0.952755905511811,0.0036144578313253017,0.1261166579085654
0.87,0.8878245725142495,0.5413271245634459,0.85609243697479,0.7651888341543513,0.9538057742782152,0.0036144578313253017,0.139253809774041
0.875,0.8748416719442685,0.5511059371362048,0.8728991596638656,0.7816091954022988,0.9553805774278216,0.004216867469879482,0.1539674198633736
0.88,0.8615421152628245,0.559487776484284,0.8876050420168067,0.7955665024630542,0.9574803149606299,0.004216867469879482,0.1660535995796112
0.885,0.8467384420519316,0.5683352735739231,0.8986344537815126,0.8111658456486043,0.9574803149606299,0.004819277108433773,0.18444561219127698
0.89,0.8328055731475618,0.5761350407450524,0.9065126050420168,0.8251231527093597,0.958005249343832,0.004819277108433773,0.20231213872832365
0.895,0.8151519949335022,0.5857974388824214,0.917016806722689,0.8382594417077176,0.9601049868766405,0.005421686746987953,0.22438255386232264
0.9,0.7926694110196327,0.5939464493597206,0.9254201680672269,0.8481116584564861,0.9606299212598425,0.005421686746987953,0.24592748292170252
0.905,0.7704243191893604,0.6018626309662398,0.9301470588235294,0.8571428571428572,0.9606299212598425,0.0060240963855421326,0.2706253284287966
0.91,0.7458043065231159,0.609895227008149,0.9338235294117647,0.867816091954023,0.9611548556430446,0.0060240963855421326,0.2958486600105097
0.915,0.7196010132995567,0.6181606519208382,0.9380252100840336,0.8760262725779967,0.9616797900262467,0.0060240963855421326,0.32317393589069887
0.92,0.6918936035465485,0.6259604190919674,0.9401260504201681,0.8883415435139573,0.9622047244094488,0.0060240963855421326,0.34787178139779296
0.925,0.6594363521215959,0.6360884749708964,0.9417016806722689,0.90311986863711,0.9622047244094488,0.0060240963855421326,0.38255386232264843
0.93,0.6228625712476251,0.6473806752037252,0.9459033613445378,0.9146141215106732,0.9627296587926509,0.0066265060240964235,0.4209143457698371
0.935,0.5758391386953768,0.659720605355064,0.9474789915966386,0.922824302134647,0.9637795275590552,0.0072289156626506035,0.4682080924855492
0.94,0.5320614312856238,0.669150174621653,0.9495798319327731,0.9269293924466339,0.9643044619422572,0.0072289156626506035,0.5055176037834997
0.945,0.4834547181760608,0.681140861466822,0.9506302521008403,0.9359605911330049,0.9648293963254593,0.007831325301204783,0.5517603783499737
