task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,candidate_id,role,pss,uma_bulk_modulus_gpa,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E4-candidate_0399,E4,complete,,IrOs2,6,520.0,343,candidate_0399,priority,1.0519907490928802,408.8149839775375,-62.61552337,-10.435920561666666,86.35503033303503,9.908666666665529e-05,12,True,83.784,False,-62.6147785,-10.435796416666667,86.35503033303503,0.0,1,False,19.962,False
E4-candidate_0400,E4,incomplete,stage static never ran,ReIr(Os3W)4,18,520.0,128,candidate_0400,screened,-0.6699776003735006,362.4332700305499,-204.05931725,-11.33662873611111,273.30222719175316,0.01923593944444393,10,False,,False,,,,,,,,
E4-candidate_0403,E4,complete,,Ir5Os11,16,520.0,196,candidate_0403,priority,-0.4902039228194933,431.27415514063335,-166.89119914,-10.43069994625,230.77866668682222,0.002590919999999386,14,True,609.761,False,-166.88621589,-10.430388493125,230.77866668682222,0.0,1,False,97.541,False
E4-candidate_0404,E4,complete,,IrOs,12,520.0,176,candidate_0404,priority,-0.502044675559934,401.3331565759696,-120.01122948,-10.00093579,173.35217707667215,0.001260686666666307,10,True,253.918,False,-120.01035045,-10.0008625375,173.35217707667215,0.0,1,False,54.418,False
E4-candidate_0407,E4,complete,,Ir3Os,12,520.0,216,candidate_0407,priority,-0.4871027458922782,416.9474214294954,-113.33919378,-9.444932815,173.76417751161048,0.005058711666666937,8,True,201.241,False,-113.33868483,-9.4448904025,173.76417751161048,0.0,1,False,45.682,False
E4-candidate_0411,E4,complete,,ReOs5,12,520.0,192,candidate_0411,priority,-0.5229113639155969,406.52252816488414,-135.85027963,-11.320856635833332,174.04992959846533,0.0006950108333327876,8,True,276.025,False,-135.83843337,-11.319869447499999,174.04992959846533,0.0,1,False,68.021,False
E4-candidate_0412,E4,complete,,IrOs3,4,520.0,676,candidate_0412,priority,0.29163143865173236,430.4122802136181,-42.20954007,-10.5523850175,57.73556342684106,0.0022994575000012674,6,True,89.806,False,-42.22155049,-10.5553876225,57.73556342684106,0.0,1,False,27.89,False
E4-candidate_0413,E4,complete,,ReOs6,14,520.0,175,candidate_0413,priority,1.0585924601858192,413.8343111960106,-160.09242685,-11.435173346428572,202.09637377028298,0.0009972564285720051,6,True,268.002,False,-160.09032716,-11.435023368571427,202.09637377028298,0.0,1,False,92.154,False
E4-candidate_0414,E4,complete,,IrOs3,16,520.0,144,candidate_0414,priority,-0.5210636457932174,401.6661802982257,-169.00194631,-10.562621644375,230.80332730386772,0.0012328625000002091,9,True,350.939,False,-169.00222259,-10.562638911875,230.80332730386772,0.0,1,False,79.872,False
E4-candidate_0416,E4,complete,,Ir5Os7,12,520.0,168,candidate_0416,priority,-0.5019974758614074,419.0448484240044,-122.84690012,-10.237241676666667,172.85479768891022,0.000969167500000386,9,True,163.926,False,-122.85359642,-10.237799701666667,172.85479768891022,0.0,1,False,36.001,False
E4-candidate_0433,E4,complete,,Re3Ir5Os11,19,520.0,126,candidate_0433,screened,-0.6390871824484389,375.13831959053135,-203.99979937,-10.736831545789475,283.798225289784,0.016029852631579376,22,True,1148.412,False,-203.9988751,-10.7367829,283.798225289784,0.0,1,False,130.748,False
E4-candidate_0435,E4,complete,,Ir6Ru4Rh,11,520.0,160,candidate_0435,screened,-0.7000882741482589,277.54823430452484,-95.59067053,-8.690060957272728,165.60796045571982,0.006838279090908889,12,True,237.254,False,-95.58208986,-8.689280896363636,165.60796045571982,0.0,1,False,36.379,False
E4-candidate_0440,E4,complete,,B2IrOs3,12,520.0,294,candidate_0440,control,-0.08560331491091688,330.3532004136114,-111.65619666,-9.304683055,147.1144339064582,0.01701455833333417,12,True,249.762,False,-111.65536547,-9.304613789166668,147.1144339064582,0.0,1,False,39.034,False
E4-candidate_0446,E4,complete,,Re,3,520.0,720,candidate_0446,control,0.4082247428434046,384.20140959902346,-37.16236506,-12.387455019999999,45.09732558559603,0.0008553699999988377,6,True,69.201,False,-37.15473232,-12.384910773333333,45.09732558559603,0.0,1,False,20.619,False
E4-candidate_0451,E4,complete,,Re4Os11,15,520.0,144,candidate_0451,screened,-0.7013278422721831,373.8984334171052,-169.64633404,-11.309755602666666,228.3416970353072,0.008964730000000525,48,True,2150.171,False,-169.64504068,-11.309669378666666,228.3416970353072,0.0,1,False,89.876,False
