cif_sha256,records,first_record_index,last_record_index,CLscore_A_min,CLscore_A_max,CLscore_B_min,CLscore_B_max,CLscore_jang_min,CLscore_jang_max,CLscore_A_range,CLscore_B_range,CLscore_jang_range
1dfc3c8b1e871b86c428068c61dfff049c93ef284f58ea9a8d0183ea346a7b24,2,45876,145390,1e-06,1e-06,0.002673,0.002683,0.260709,0.260709,0.0,1.0000000000000026e-05,0.0
1eddb48e074183ad675c9f2f5b1db7d9da9b5918516543c801d7a46aab3317eb,2,11025,228890,3e-06,3e-06,0.001013,0.001027,0.046359,0.046359,0.0,1.3999999999999907e-05,0.0
1f00cf9d02c3e2599d89deb61654f94111f893e6ea7d26596a9d3e9b90400b76,2,24412,122208,2e-06,2e-06,0.000576,0.000588,0.163539,0.163539,0.0,1.1999999999999966e-05,0.0
1f7f1e25282f461b8ad4df50bc55e69ef9a669fca0880b90d697c4455504d9d6,2,37721,213299,0.0,0.0,0.004391,0.004403,0.24003,0.24003,0.0,1.1999999999999858e-05,0.0
2008827918ca178862a80ed6ce6e94499d30380d947439da1f91ac38f43fe1e2,2,24180,180490,0.0,0.0,0.001648,0.001648,7e-06,7e-06,0.0,0.0,0.0
213a663e3def7ec049aa74a0e329a6220966677660cd9a8343c9455e81b54398,2,15416,103062,0.0,0.0,0.000405,0.000405,7e-06,7e-06,0.0,0.0,0.0
253c9581dd25477f8eb537de9734badcae9874b18902ed336dad2107928b97d9,2,29724,153584,0.0,0.0,0.003013,0.003013,0.043098,0.043098,0.0,0.0,0.0
265aeab977592aa3ff81b20920e6874ef85245711fdbc4d5f238e444e6763ad7,2,202451,347024,0.0,0.0,0.000222,0.000225,0.123989,0.123989,0.0,2.9999999999999916e-06,0.0
266ea2b4f0a9787cd331bbeda8eb05bb4a29c48457f0ac536ffa0f7317d69860,2,19781,88121,0.0,0.0,0.000561,0.000561,0.257945,0.257945,0.0,0.0,0.0
2849ab85771757ef631bfd18016d43f12aed33867f147b35c618781994d4fefa,2,10501,355797,1e-06,1e-06,0.000442,0.000445,0.013744,0.013744,0.0,2.9999999999999645e-06,0.0
